,Country/ Territory,Legislative/ Judicial basis for gender recognition,Type & authority to determine application,"Minimum age
",Citizenship/Residency,"Marital status exclusion
",Parental status exclusion,"Medical diagnosis e.g. gender dysphoria, GID etc",Real life test,Intention to live in the opposite gender,"Hormonal treatment
",Physical adaptation (incl non-genital surgery),Genital surgery leading to sterilization,"Official documents etc, affected",Recognition of foreign GRS/ medical intervention/ foreign gender recognition,Scope of gender recognition
52,United Kingdom,Gender Recognition Act 2004,"(Judicial)
Gender Recognition
Panels consisting of qualified members from legal & medical fields","✓
(18 yrs)",,✗,✗,"✓ 
",(2 yrs),"✓

",,"Unclear
(modifying sexual characteristics needed)",✗,Entry in birth registry & new birth certificate,✓,"Expressly
for all legal purposes
(following change of sex entry in birth registry & issuance of new birth certificate)"
North America,,,,,,,,,,,,,,,,
53,Canada – Alberta,"Vital Statistics Act, Chapter V-4.1, s 30 (amended by the Statutes Amendment Act, SA 2014 c8 on 05.05.2014) & Vital Statistics Information Regulation (Oct 2016)","(Admin)
Registrar of Vital Statistics","✗
",,"✓
unless with consent of the other party to the marriage
",,"✓
(medical confirmation that the sex designation requested corresponds with the sex designation with which the applicant identifies) ",,,,,"✗
(according to court decision)",New birth certificate &/or new marriage certificate,Unclear,"(Apparently)
for all legal purposes
(following issuance of new birth certificate &/or marriage certificate)"
54,Canada – British Columbia,"Vital Statistics Act [RSBC 1996] CHAPTER 479, s 27
(2014)
and","(Admin)
Registrar General of the Vital Statistics Agency","✗
(minor needs consent of parents & guardians)","✓
(birth registered in BC who can reside overseas)","✗
(removal of marital status exclusion in Old Act)",,"✓ 
(sex designation not corresponding with gender identity)",,"✓ 
(intention to maintain gender identity)",,,"✗
(removal of proof of trans-sexual surgery in old Act)
",New birth certificate,"✓
(overseas physician confirming sex designation not corresponding with gender identity) ","(Apparently)
for all legal purposes
(following issuance of new birth certificate)"
55,Canada – Manitoba,"Vital Statistics Act s 25 
(2016 )","(Admin)
Director of Vital Statistics","✗
","✓
(birth registered in Manitoba or being a Canadian citizen residing in Manitoba for at least 1 yr)","✗
",,"✓
(material from a health care professional stating that the applicant’s sex designation on birth registration inconsistent with which applicant identifies)","✓
(living full-time in a manner consistent with requester sex designation)","✓
(intention to live full-time in a manner consistent with requester sex designation)",,,"✗
(previous requirement of transsexual surgery removed)",New birth certificate,"✓
(change of sex designation overseas may be recognised provided that legal requirement of the foreign jurisdiction is comparable to that of Manitoba)","(Apparently)
for all legal purposes
(following issuance of new birth certificate)"
56,Canada – New Brunswick,"Vital Statistics Act 1979, SNB 1979, c V-3 (took effect on 01.10.2015),   s 34","(Admin)
Registrar General",,"✓ 
(birth registered in New Brunswick)",,,,,,,,"✓ 
(trans-sexual surgery)
",New birth certificate,"✓
(require certificate of medical practitioner qualified in jurisdiction where surgery was performed)","(Apparently)
for all legal purposes
(following issuance of new birth certificate)"
57,Canada – Newfoundland and Labrador,"Vital Statistics Act 2009 (took effect on 13.04.2016), 
Article 26","(Admin)
Registrar General","✓
(16 yrs)","✓ 
(birth registered in Newfoundland and Labrador)","✗
(change of sex on marriage certificate allowed with spouse’s consent)",,"✓
(medical confirmation that sex designation requested is consistent with the sex designation to be changed)",,"✓
(has assumed, identifies with and intends to maintain the gender identity to be changed)",,," ✗
(previous requirement of transsexual surgery removed)",New birth certificate,,"(Apparently)
for all legal purposes
(following issuance of new birth certificate)"
58,Canada – Nova Scotia,"Vital Statistics Act (took effect on22.09.2015), s 25","(Admin)
Registrar General","✗
(minor needs consent of parents & guardians)","✓ 
(birth registered in Scotia or having registration in the Registry)",,,"✓
(medical confirmation that the sex shown on birth registration does not correspond with gender identity to be changed)",,"✓
(has assumed, identifies with and intends to maintain the gender identity to be changed)",,," ✗
(previous requirement of sex reassignme
-nt surgery removed)","Notation of change of sex on birth registration or, in case birth is registered overseas, any registration in the Registrar’s office ","✓
(require proof by foreign profession that the sex on birth registration does not correspond with gender identity)","(Apparently)
for all legal purposes
(following notation of change of sex on birth registration or any other registration)"
59,Canada – Ontario,"Vital Statistics Act 
(2012)
and 
Human Rights Tribunal’s ruling in XY v. Ontario (Government and Consumer Services), 2012 HRTO 726 dated 11.4.2012","(Admin)
Registrar General","✓
(18 yrs)","✓
(birth registered in Ontario)",,,"✓
(requires that the applicant’s gender identity does not accord with the sex designation on the birth registration)","✓
(living full-time in the gender identity that accords with the requested change in sex designation) ","✓
(intend to maintain the requester gender identity)",,,"✗
(transsexual surgery is no longer required pursuant to the Human Rights Tribunal’s ruling on 11.4.2012)",New birth certificate and birth registration,"✓
(foreign medical opinion that gender identity does not accord with sex designation/ foreign gender recognition)","(Apparently) for all legal purposes
(following issuance of new birth certificate) 
"
60,Canada – Prince Edward Island,"Vital Statistics Act
(2016)","(Admin)
Director of Vital Statistics",,"✓
(birth registered in Prince Edward Island)",,,"✓
(medical confirmation that the sex recorded on the applicant’s registration of birth does not correspond with his/her gender identity)",,"✓
(has assumed, identifies with, and intends to maintain, the gender identity to be changed)",,," ✗
(previous requirement of sex reassignme
-nt surgery removed)",New birth certificate,Unclear,"(Apparently) for all legal purposes
(following issuance of new birth certificate)"
61,Canada – Quebec,"Civil Code
(2016)","(Admin)
Registrar of Civil Status","✗
(minor needs consent of tutor)","✓
(Canadian citizen who have been domiciled in Quebec for at least one year)",,,,,,,,✗,Amendment to birth record,Unclear,"(Apparently) for all legal purposes
(following amendment to birth record)"
62,Canada – Saskatchewan,"Vital Statistics Act 
(2016)","(Admin)
Registrar of Vital Statistics","✓
(18 yrs)","✓
(birth registered in Saskatch-ewan)",,,"✓
(medical confirmation that the applicant has assumed, identifies with and is maintaining the gender identity to be changed))",,"✓
(has assumed, identifies with and intends to maintain the gender identity to be changed)",,," ✗
(previous requirement of sex reassignme
-nt surgery removed)","Amendment to statement of live birth, new birth certificate and statement of marriage ","✓
(foreign medical professional’s confirmation that the applicant has assumed, identifies with and is maintaining the gender identity to be changed)","(Apparently) for all legal purposes
(following issuance of new birth certificate)"
63,Canada – Yukon Territory,"Vital Statistics Act 
(2016)","(Admin)
Registrar of Vital Statistics",,"✓
(birth registered in Yukon)",✗,,,,,,,"✓
(requires change of one’s anatomical sex structure)",New birth certificate or marriage certificate,Unclear,"(Apparently) for all legal purposes
(following issuance of new birth certificate)"
64,Mexico – Federal District,A Bill passed on 13 November 2014,"(Admin)
Birth Registry",,"✓
(birth registered in Mexico City)",,,"✗
","✗
",,"✗
","✗
",✗,Adjusted birth certificates ,Unclear,"(Apparently) for all legal purposes
(following issuance of adjusted birth certificate)"
65,United States – Alabama,Alabama Code § 22-9A-19(d) (2004),(Admin & judicial) State Registrar & court,"
","✓
(birth registered in Alabama)",,,,,,,,"✓
(sex reassignment surgery)",Amended birth certificate,"Unclear
","(Apparently) for all legal purposes
(following issuance of amended birth certificate)"
66,United States – Alaska,Alaska Statutes § 18.50.320 (2005),(Admin & judicial) Bureau and the custodian of permanent local records & court,"
","✓
(birth registered in Alaska)",,,,,,,,"Unclear
(divergent court decisions)
",Amended birth certificate,"Unclear
","(Apparently) for all legal purposes
(following issuance of amended birth certificate)"
67,United States – Arizona,Ariz. Rev. Stat. § 36-337 (2006),"(Admin)
State Registrar ",✗,"✓
 (birth registered Arizona)",,,,,,,,"✓
(sex reassignment surgery or different chromosomal count establishing sex) 
",New birth certificate ,"Unclear
","(Apparently) for all legal purposes
(following issuance of new birth certificate)"
68,United States – Arkansas,Ark. Code Ann. § 20-18-307(d) (2005),"(Admin & judicial)
State Board of Health and court",,"✓
 (born in Arkansas)",,,,,,,,"Unclear
(change of sex by surgical procedure)
",Amended birth certificate,"Unclear
","(Apparently) for all legal purposes
(following issuance of amended birth certificate)"
69,United States – California,"Cal. Health and Safety Code §103425 &    §103430 
(2013)","(Admin & judicial)
State Registrar and court",,"✓ 
(born in California)",,,,,,,,✗ (clinically appropriate treatment),New birth certificate,"Unclear
","(Apparently) for all legal purposes
(following issuance of new birth certificate)"
70,United States – Colorado,"Colo. Rev. Stat. 25-2-115(4)
(2006)","(Admin & judicial)
State Registrar and court",,"✓ 
(born in Colorado)",,,,,,,,"Unclear
(surgical procedure)",New birth certificate,"Unclear
","(Apparently) for all legal purposes
(following issuance of new birth certificate)"
